Id,I_COL_01,I_COL_02,I_COL_03,I_COL_04,I_COL_05,I_COL_06,I_COL_07,I_COL_08,I_COL_09,I_COL_10,S_COL_01,S_COL_02,S_COL_03,S_COL_04,S_COL_05,S_COL_06,S_COL_07,S_COL_08,S_COL_09,S_COL_10,D_COL_01,D_COL_02,D_COL_03,D_COL_04,D_COL_05,D_COL_06,D_COL_07,D_COL_08,D_COL_09,D_COL_10,G_COL_01,G_COL_02,G_COL_03,G_COL_04,G_COL_05,G_COL_06,G_COL_07,G_COL_08,G_COL_09,G_COL_10
11,2075741619,1559317571,1300577777,1222770477,664424919,,105463110,1369823379,1692762858,1448263418,QEYG04AD,6VT36UIPHC,BPYLQJ7ERMWAR4RT,KR1B2NRO0YUMRLX4CJS,1F12U9SLBDZ8Q,4AWK3,JUE5LNX1HACMTL9,O8DZU4NAT,CXHUMI5HYYXFXK5Y6DI051O6,3ZZ0422XYU2S9LQ2UT03PPY,1987-06-29 00:00:00,1978-01-25 00:00:00,1968-12-15 00:00:00,,1978-04-12 00:00:00,,1984-02-06 00:00:00,1988-02-29 00:00:00,2008-01-01 00:00:00,1981-01-24 00:00:00,{0DE5758D-92E7-4C29-918A-890578B7853A},{AFE2E955-6A42-470A-B083-766BC3E28E74},{468342F1-4ADB-4734-9258-EE40CB39C665},{B95D8C5B-C857-482C-9407-D30E38F7F902},,{4875C66E-6222-4158-9FFF-563A62376B43},,{0C119F09-1392-499D-9F95-5FE0F03148A0},{3BA05BD8-CACD-496B-A80B-A6D18A59FEDA},
12,364290763,1094659216,,1158972802,1980859896,1968356789,810033879,,1716082994,1952623896,WY5QP3NKC3O,DOEY6A,X7NPRHAOVT991UFKUDUXJHE,QJ6MEY6EM81,7VM5Q,VKSI4D3PRYQ3,B7DBR5D,WO1TF9LN04ZZG,SA4QXXS8J65XI49OK0,4DUXQGLZ9UO5GQTQAWH1EQR,1976-06-12 00:00:00,1964-10-24 00:00:00,2002-12-10 00:00:00,1983-02-25 00:00:00,1978-07-09 00:00:00,2006-05-24 00:00:00,,1972-06-21 00:00:00,1987-06-24 00:00:00,2004-04-10 00:00:00,{3AE60B91-1BE1-4C83-A87B-BF05BF20A61E},{BBB9E394-9B7E-4E7F-886B-6E984E8DFD2C},{0F1E71F4-6AE2-4FC6-9E06-83F457FDBB70},{C45118C7-4847-485C-873B-487FA3B9DDDB},{8127ADBA-A633-43E7-A3C5-2516D971CB56},,{D4A469A0-E007-4EE9-BF44-304ED791AB18},{154E14F1-0A1B-412D-88B8-EC72DAA60AAB},,{719A0779-D6C6-4D92-9D1C-F8C8EC20307A}
13,231552800,845996094,,829650563,256956117,2073336241,367850832,1199266949,1346294770,12274895,,,MQ2DJ4JJIAZP,,2R35MV3PSCQFG,VC3ZQ734EK4S0SQ,,HMS9ZN3SBJ,YDEZPWVRWS9WYVRCC6CC,,2014-09-28 00:00:00,1962-01-09 00:00:00,1981-06-08 00:00:00,2010-08-24 00:00:00,2010-01-09 00:00:00,2006-11-21 00:00:00,1994-09-22 00:00:00,1983-03-18 00:00:00,1967-06-01 00:00:00,1983-05-13 00:00:00,{AE9FF75E-181B-47D0-A27D-E881176921FA},{E5A54473-E555-457F-950F-4A24B0043DB6},{3D242237-90E7-47B5-824F-5A53AF32B0AD},{EDE018CA-A66E-4530-BAE9-5AD324423318},{3AEA3073-87F2-4F95-A4C2-42AC44C61481},{31A27924-D496-4DC0-B9AF-738791BA98BB},{97D12BE9-355D-4E14-87F0-C24892B97AC4},{43F43308-14A0-4D64-8BE4-3C1DD379F743},{38F98C5C-4231-4CD4-AEB7-835BE892BE5B},{F75951E5-1896-4CA6-A303-7A74195EF5C0}
14,433835279,1485205726,246071410,1480391652,,355663189,1498096590,974165232,,2119317550,B2JYIJJPEKIUFR1M5X,CMKTIJ7C6C8EFBPL8J,45USBVPH4E7ZGCV,ZP9LGTBMDODCPN,,3G22SW3ZI2,8DQ03I3RHX,F7HLFP0LS6IO5ZH,W816CFK,VF1ZCF4KWVP,,2004-12-10 00:00:00,2006-07-23 00:00:00,1964-12-21 00:00:00,1963-05-30 00:00:00,1968-08-16 00:00:00,1962-03-30 00:00:00,1993-08-15 00:00:00,1994-03-16 00:00:00,,{66335D68-BA98-4630-BF6C-B1E88B70A9F5},{32D320AC-2858-4FE9-A725-1061CACE7998},{5091410E-6683-4F9D-B934-40A86C28B171},{DA61A439-1C3A-44DA-ABB6-2983C49CC465},{9BFD157C-5758-4DBB-A588-475C28191702},{12CC0761-8A3F-4435-955D-3576964DB953},{0FF65A05-C385-429A-8160-EFF8A44F1DDC},{11E509AE-092B-4A3C-B1D2-B975568E3425},{0E5E30C3-44AA-46A9-8998-80888947E145},{0C20D45D-DC9B-4EF3-A2BE-A011D6483A76}
15,1215849639,,1311253535,1374773111,370527356,,646458193,937817103,992825147,195391365,RQJYT3S4Z8QJ,2QJCPWYSS,2YRBNMS2OLVL7T2,MHJ3L4XFHOXFZ88MF0EB,,8RV7GFLTW06GLXZR4,G84WZMX812Y49AVLL07RA5,O22XZ,JI7GXD45US,0866GZMO07L5KC4I,1993-02-28 00:00:00,,1978-09-05 00:00:00,1984-05-07 00:00:00,1964-07-11 00:00:00,2013-03-31 00:00:00,1986-10-02 00:00:00,1981-05-10 00:00:00,2006-04-26 00:00:00,1968-06-29 00:00:00,{B11829ED-7800-47E2-A50A-C186B7ACCD9A},{3A1A195D-C356-4876-92F3-0BB2B0912EED},,{E2538468-8335-41CD-9704-8C29A461CE3F},{C1906B33-0F3B-42CD-B175-F3E6D76A0BF5},{262E8A54-263E-4FCF-9571-D69FB04BE632},{E9950CC1-EEEF-4F7B-8B4B-E60ACC32131A},{B26405AC-3178-4C0D-8DEB-7AEC6EC49A92},{499C7F86-4CB6-4C47-A5A7-A8AEB7C230EA},{DB7E39E8-F096-4478-9052-CC5B2411433B}
16,1903028342,555766567,2137576456,1080765358,537450272,1147890371,1821638633,1636782203,1999665023,,B881Z99C5JA,97N834NR5C6TJBIGJEV,A7WR7AAPC9GQT5OO,BG5G6BI,06WEOKG8A0Q64NB2C0CZG32,TVY4A,RCJTQ51FN6,ZHH33N3KF006ETD5ZR,,,1972-10-13 00:00:00,2004-01-11 00:00:00,,,1972-03-04 00:00:00,2011-09-16 00:00:00,1976-10-05 00:00:00,1967-12-01 00:00:00,2006-12-04 00:00:00,2003-12-25 00:00:00,{46059C12-12AC-4041-B0A8-DDC6CAA6F0D3},{9CFB00B8-F29F-4C38-95FF-84FCDC53AAD7},{21BB81EE-FEC0-4054-94E4-79D82938F838},{7D15D202-7BC5-4EF6-BF14-8A37666E36D8},{20532442-11E1-42AF-8936-FDDC64943AFF},{1797C552-5150-48FF-9FBD-54D637D3D805},{81AC2640-4E95-4991-A919-46389A583EAA},{E24D6B25-38BE-488C-BA89-D751AAC8285D},{C0B377A4-695B-4DFE-938C-9A84D7BEE159},{6FE7E463-901B-40C8-A620-FE73B4CC400F}
17,1955080514,1897377142,,1121871133,,933856890,,100324434,748184201,897013656,9FJS7XW34DZQ0C,,QQQCV,6CSPT7,46P1SOSIGTY,99JXIK,9NOKHV5EHK6JOV3XW6X8HKS7,7DJ2LWCM4TARL2WD9J1EYNFW,X31Z5R2HY25,JGC1KWEV5LDLIFMLU7X199JU,1997-10-18 00:00:00,1999-06-19 00:00:00,1966-12-15 00:00:00,1974-04-15 00:00:00,1978-12-03 00:00:00,2014-01-07 00:00:00,,2009-07-05 00:00:00,2009-12-22 00:00:00,2003-10-25 00:00:00,{37C9EBB9-9734-4060-928C-191477CD91B1},{E895B979-F593-4B1A-8A89-705F086D237C},{4E1540FD-C2A7-48F0-B551-1DB9939B7685},{14D8D06C-21DB-49EE-B69F-10D4836EE549},{FDA73F27-D41B-412C-9003-C84BD63184ED},{9D223963-053C-4204-B160-2713F7526D76},{46256F95-DC6C-4AB1-B4C6-13080A22F4CB},{0FC316BE-EBDC-4EF4-B039-EDA44BF718BE},{94A453F3-C5F7-4544-A486-6A6A2D47B1FF},{AAAB8833-251D-4EB0-809E-63A52F58EE09}
18,2059557724,1951641725,1321023956,151652433,1066511944,1036810804,1656326278,1449615223,1543415187,108864847,JH261BIIH9996MHBE9J7PI,2WZXCFG3V2YCEU4V4HK2R55U,V82ZPBI2EFM,B2GOEXF7,XDI8HS7,G0UIA5M,LQZJJBIALQ16LOB3EWHCB,OHOPRUGT,LWDPO3GZGGQ8I4MSP5IFV3AJ,4W1PF7,2010-12-28 00:00:00,,2014-02-24 00:00:00,2001-01-15 00:00:00,1961-11-09 00:00:00,2007-05-16 00:00:00,,1985-12-02 00:00:00,1991-11-15 00:00:00,2013-12-18 00:00:00,{9BE23EFE-BEFA-40EE-B54A-97F4724166D9},{24F981EE-2AED-4FC7-BABE-5098A095031A},{2437FA7D-7C96-41E2-8765-209243B01682},{56A92A07-3FDC-4713-9307-697E3E64D901},{F9E3D547-C031-4957-9337-2D013ACA6427},,{053A71DB-9747-4AAA-BCE5-FB388949E8EB},{17D404A7-D054-4E34-AA85-6172C0840B7D},{538A1D73-0F66-487D-A0DE-57141F003FC2},{18BFA378-CC4E-41D1-AC5E-C1CB9856F99E}
19,1233976635,1630946973,1150781331,705088457,1165972035,104526990,960813494,460566612,1972669476,1822834672,S3K4XNRRHE,3PPCCHQXZTOD,RHTYKKJZBERH6W4MMP32W,,5MNPV9OGZ25K8T47DENKV4,2MH9KMH2OX3864DC0KRD0T,V5ZSLRKABSXI1P6NVD5L0,JALUL,EI8OOOWYQ,27NG5KKNERXY,1966-03-10 00:00:00,,1986-06-23 00:00:00,,2012-08-27 00:00:00,1997-05-08 00:00:00,1983-11-02 00:00:00,1977-11-24 00:00:00,1963-12-12 00:00:00,2001-03-06 00:00:00,{36859A84-0A93-4377-8E01-3D1834BDCB5B},{89DF6B6B-8425-46C2-90EB-BCA93B5C2503},{2CC9242F-6DF2-411A-99B9-EB4C873C0EDA},{9C80EA14-139C-4478-BE71-1219FD5D7C79},{2A617147-CAD7-480E-9E5B-A2576B471678},{74C959C1-E38E-42EE-A02A-5E5B86309170},{7E384F4A-7201-4F0B-9409-BA6258E12C2D},{7E177261-41A3-4953-B43B-151C6B82A635},{0B8A0DDF-CCA2-4C62-918C-76A2B0F2955A},{208E8040-AA31-470B-918D-E53B2F404B7D}
20,1992917387,1517761221,1225056986,675057111,1212384111,380731859,2109524404,309604221,2106164562,1209867661,6OVAZEF0H,AXBPE73PCM7T,9U25XJVC,3EP4Z,N23QLMZ8B9E5685440UN4TE,XAWAS806OU160XIC7WKQHEC,VEF2D3XBTY,8TAO9R,7ECMK77,ZS7Y064UEL0,2009-07-06 00:00:00,,2010-10-28 00:00:00,2014-08-23 00:00:00,1977-01-20 00:00:00,1974-02-04 00:00:00,1998-06-07 00:00:00,1979-06-02 00:00:00,1963-01-29 00:00:00,,{EC8EB5F9-FDFA-477B-BBEB-2339B52D5EB3},{A6B4CBBF-61A9-4ECB-AA17-03A5122B850F},,{AA3D7B8B-9BAA-41B3-8E6A-FB03E72353AA},{F33F2D77-5EFC-417C-8678-627D63673F0B},{233106B4-6C61-4CC1-94C9-8324E23656C8},{F3C10679-F2C1-4152-9FE9-2F1BB39E154D},{E578F886-CF80-4306-9F5F-59AD36527ABD},{3BB8C881-6D73-43CE-A270-A8174D708348},
21,309904300,1836495109,1403034326,133590175,218461230,685186644,1782523119,532737720,1872026825,1858714545,32XG4KFO3SV1Q,NRA2JU7MF,IRLKET,LBH9306T,0HNPAEOICF56PR91BYCTOB8,HFRHCMAXPP8Z3RH65QWLO,9BYIQ1TYIDV286B924J,,CHG4W,M8PVPSFNDU6500VI,1975-11-18 00:00:00,,1987-09-13 00:00:00,1986-08-23 00:00:00,1995-04-23 00:00:00,2014-02-20 00:00:00,1987-09-25 00:00:00,1995-01-03 00:00:00,1962-12-29 00:00:00,2010-12-26 00:00:00,{5C67559E-1EEB-46C1-8591-1F20AD6FF3D8},{354A3A2F-6D92-4301-81A3-100577D5D717},{D6CFA9B0-4FA0-45FA-8428-F9FA3A7DF447},,{DB2A5C5A-D042-4F8E-A567-71E92421B315},{36E7D5CF-FAF5-4CD2-B002-23B7F9BCF0C2},{8E647516-C812-422D-B052-FAE9C8CEE52B},{6BD04935-4A77-42E9-ACE2-5663962F977F},{CC382B97-C1C7-410F-8428-8418D4863033},{4471EA37-B235-4B8D-8FCC-1D30697FEC97}
22,691350655,968454243,1108348435,1356089903,225717456,1078182336,2078962598,1163876529,1933843608,2044003602,X3QBQ1V85EG2RMXTRTARM9,,IZ4ZZXMVJYQ97B4A0IMMRRQ,OS7KSXP4FHB1IFR3G,GUURGQW1BKO1J9DLEO,,BF242,D5SLJ2YC4B0356,0P11F4NP5QWFO1X,EXG2DSQK,1986-08-14 00:00:00,1997-06-16 00:00:00,2009-07-05 00:00:00,1997-12-21 00:00:00,1964-01-07 00:00:00,1963-02-09 00:00:00,1979-12-08 00:00:00,1988-10-05 00:00:00,1984-10-23 00:00:00,1970-03-19 00:00:00,{F75CC434-CCB6-4186-AAD0-8269A0D78B3E},{9935F6D1-55B6-4C36-8B9F-B96ACDFA9F49},{6C0665C4-C5C6-467D-AD18-D06092589FA0},{ECCA3306-162D-4453-B175-1A50D6D71D3C},{D22AB719-EEDC-4ABE-AD08-B324F73446BF},{EA7FEDA2-117A-455B-A243-4568198896B0},{F18A3F77-FC24-46EB-9380-4FC5D43B91CA},{81F572EA-F63D-4DFD-A48E-FCAA9A6CF4D8},,{C1088E1B-E739-410A-A7A6-8DFE923D5126}
23,1973573398,,291510032,599495208,872818524,1121021713,1718315407,516679419,1475574124,884893616,Y0L0MNYK4E5Q5OR0AH4,AHWC4MFA883,8G911,,UQXA7L1WYVTQOX,YSBTJ5FB75PK0JP4W3,9B7AONJNKCVLXLCJ8BH,WCB5Q6PGY3V,YWUAF6V215JEWOGF6VW1,85E7R4GVIAD5,1985-06-23 00:00:00,,2011-02-11 00:00:00,1966-04-13 00:00:00,2008-08-03 00:00:00,2003-12-26 00:00:00,2007-02-19 00:00:00,1974-12-07 00:00:00,2005-04-04 00:00:00,2014-07-31 00:00:00,{A1FB5009-C564-422F-A645-C7D7B701ADAD},{EAE566B6-213D-4924-9F9D-EB3BDD7C05C2},{1B831AC8-2FDD-409C-BF3A-DEC894D79E70},{E536F3FA-5CF9-4B2D-818D-6CD428EB3FD8},{4C01A63B-77BC-48C0-93E0-317003135465},{1314353D-D113-4B7F-92D5-E896731E0E39},{EC6FF68F-2BF1-4877-8378-6FFCF2E31915},,{A47238F4-E5B7-4257-A724-3D5E7E7F07D9},
24,1399474104,84337017,1686188538,953463002,1458878468,1433296413,1097656323,237386275,207924578,,,9BWSL1ACY6L6YTSZCZRU,X2P36UREOFPNYIOI,P59OMA3HVYALDV7ON4DS5QUU,,L5JL4HSF8UJQO9,2DDB4PJ4TF9E8LO6GTSMMNGD,94EOYSGR1ROEX,O1ZIOHXGMJ5RMWP6A,QP0FQQ7QT7RC,1995-08-09 00:00:00,2012-11-18 00:00:00,1988-06-11 00:00:00,1971-01-12 00:00:00,1979-10-11 00:00:00,2004-01-05 00:00:00,2005-11-15 00:00:00,2008-01-04 00:00:00,1980-06-04 00:00:00,1983-11-07 00:00:00,{21A2B181-EE8C-4FE7-87ED-3407EF0DD37E},{303038BE-CE9A-42DE-8979-34E0696DB3E9},{C9A7F86D-5354-4D2A-8B0D-0F08F7A9AF77},,{A3BD1A13-049C-4DE4-ABD1-D39C1F58CFB8},,{CB77A3D4-7BD8-451E-9C43-2CF85A698A41},{3AC860F5-9517-48FC-8708-7CC97A8F8A01},{B5C9E45D-4849-413E-96EE-6E4147BDD7E0},{6FB5A585-EBD0-4174-AE87-F0062FB3D18A}
